2001:250:884::,2001:250:884:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:885::,2001:250:885:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:886::,2001:250:888:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:889::,2001:250:889:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:88a::,2001:250:88b:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:88c::,2001:250:88c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:88d::,2001:250:88f:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:890::,2001:250:890:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:891::,2001:250:892:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:893::,2001:250:bff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c00::,2001:250:c0b:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
2001:250:c0c::,2001:250:c0c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c0d::,2001:250:c0f:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
2001:250:c10::,2001:250:c10:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c11::,2001:250:c1c:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
2001:250:c1d::,2001:250:c1d:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c1e::,2001:250:c2d:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
2001:250:c2e::,2001:250:c2e:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c2f::,2001:250:c37:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
2001:250:c38::,2001:250:c3a:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c3b::,2001:250:c3b:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
2001:250:c3c::,2001:250:c3d:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:c3e::,2001:250:c3e:ffff:ffff:ffff:ffff:ffff,138374,CNGI-TYN-IX-AS-AP CERNET2 regional IX at Taiyuan University
